season,total_points,opp_points,pass_yds,rush_yds,sacks,int
2018,23.5,25.0,264.875,104.1875,3.3125,0.25
2019,23.5,19.5625,233.3125,112.1875,2.25,0.25
2020,31.8125,23.0625,256.625,132.375,1.3125,0.3125
2021,26.470588235294116,21.823529411764707,253.8235294117647,111.76470588235294,1.9411764705882353,0.4117647058823529
2022,21.764705882352942,21.823529411764707,213.64705882352942,124.29411764705883,1.8823529411764706,0.7058823529411765
2023,22.529411764705884,20.58823529411765,233.41176470588235,112.05882352941177,1.7647058823529411,0.6470588235294118
2024,27.058823529411764,19.88235294117647,223.94117647058823,146.8235294117647,1.2941176470588236,0.6470588235294118
